Business Name,Phone,Address,Website,City,Category,Status,Notes
Salon Verde,(602) 555-4220,"6460 W Thomas Rd, Phoenix, AZ",https://salonverde.com,Phoenix,salon,email,
The Mane Room,(602) 555-1634,"8494 E Speedway Blvd, Phoenix, AZ",https://themaneroom.com,Phoenix,salon,email,owner is Kim
Copper Blade Barber Co,(520) 555-9044,"4907 N Oracle Rd, Scottsdale, AZ",,Scottsdale,salon,new,spoke to front desk
Studio 7 Hair Design,(480) 555-2214,"4691 N Scottsdale Rd, Phoenix, AZ",https://studio7hairdesign.com,Phoenix,salon,call,
Great Clips,(602) 555-5410,"6840 W Thomas Rd, Phoenix, AZ",https://greatclips.com,Phoenix,salon,new,spoke to front desk
Velvet Chair Salon,(480) 555-9699,"9474 N Scottsdale Rd, Scottsdale, AZ",,Scottsdale,salon,new,asked for COI
Agave Hair Studio,(520) 555-9551,"9675 N Scottsdale Rd, Scottsdale, AZ",https://agavehairstudio.com,Scottsdale,salon,new,asked for COI
Polished Nail Bar,(520) 555-6108,"649 E Camelback Rd, Scottsdale, AZ",https://polishednailbar.com,Scottsdale,salon,new,asked for COI
Iron Cactus Strength,(520) 555-6096,"5324 N Scottsdale Rd, Phoenix, AZ",https://ironcactusstrength.com,Phoenix,boutique gym,new,asked for COI
Sonoran CrossFit,(480) 555-1728,"2222 E Speedway Blvd, Tucson, AZ",https://sonorancrossfit.com,Tucson,boutique gym,new,
The Pilates Loft,(602) 555-9190,"9484 E Camelback Rd, Scottsdale, AZ",https://thepilatesloft.com,Scottsdale,boutique gym,email,asked for COI
Barre District,(602) 555-2183,"1414 E Camelback Rd, Tucson, AZ",https://barredistrict.com,Tucson,boutique gym,call,asked for COI
F45 Training,(480) 555-7364,"9618 W Thomas Rd, Tucson, AZ",https://f45training.com,Tucson,boutique gym,new,wants after-hours only
Summit Climbing & Fitness,(602) 555-6082,"9951 E Camelback Rd, Tucson, AZ",https://summitclimbingandfitness.com,Tucson,boutique gym,call,
Pulse Cycle Studio,(480) 555-8967,"4291 E Camelback Rd, Phoenix, AZ",https://pulsecyclestudio.com,Phoenix,boutique gym,new,
Camelback Spine & Wellness,(602) 555-9493,"2878 E Speedway Blvd, Tucson, AZ",https://camelbackspineandwellnes.com,Tucson,chiropractor,new,asked for COI
Desert Ridge Chiropractic,(480) 555-7631,"4205 N Scottsdale Rd, Phoenix, AZ",https://desertridgechiropractic.com,Phoenix,chiropractor,call,spoke to front desk
Old Pueblo Chiropractic,(602) 555-6185,"3538 N Scottsdale Rd, Scottsdale, AZ",,Scottsdale,chiropractor,walk-in,
The Joint Chiropractic,(602) 555-5535,"2871 E Camelback Rd, Tucson, AZ",https://thejointchiropractic.com,Tucson,chiropractor,call,spoke to front desk
Align Family Chiropractic,(480) 555-9519,"8191 E Indian School Rd, Scottsdale, AZ",https://alignfamilychiropractic.com,Scottsdale,chiropractor,new,owner is Kim
Foothills Spine Center,(602) 555-5556,"779 E Indian School Rd, Phoenix, AZ",https://foothillsspinecenter.com,Phoenix,chiropractor,walk-in,owner is Kim
Active Life Chiro,(520) 555-1313,"2326 W Thomas Rd, Tucson, AZ",https://activelifechiro.com,Tucson,chiropractor,new,owner is Kim
Mesquite Montessori,(602) 555-1279,"9799 N Central Ave, Scottsdale, AZ",https://mesquitemontessori.com,Scottsdale,daycare,new,
Palo Verde Preschool,(520) 555-6866,"2234 N Central Ave, Scottsdale, AZ",https://paloverdepreschool.com,Scottsdale,daycare,new,
Skin Theory Aesthetics,(480) 555-1230,"3721 N Central Ave, Scottsdale, AZ",https://skintheoryaesthetics.com,Scottsdale,med spa,new,
Hairitage Studio,(602) 555-2405,"8263 N Central Ave, Phoenix, AZ",https://hairitagestudio.com,Phoenix,salon,new,
Planet Fitness,(520) 555-8066,"5981 N Central Ave, Tucson, AZ",https://planetfitness.com,Tucson,boutique gym,new,
Rooted Yoga & Strength,(602) 555-7047,"2916 N Central Ave, Phoenix, AZ",https://rootedyogaandstrength.com,Phoenix,boutique gym,new,
Catalina Chiropractic,(480) 555-7040,"9472 N Central Ave, Tucson, AZ",https://catalinachiropractic.com,Tucson,chiropractor,new,
Encanto Kids Cottage,(520) 555-2404,"7867 N Central Ave, Scottsdale, AZ",,Scottsdale,daycare,new,
